table_name,year_value,year_unit,year_start_month,month,variable,commodity_element,market_segment,geographic_extent,value,unit
"Table G-1--Apples, fresh: Supply and availability, 1980/81 to date",1990/91,Marketing year,August,NA,Imports,Apples,Fresh,United States,229.655,million pounds
"Table G-1--Apples, fresh: Supply and availability, 1980/81 to date",1990/91,Marketing year,August,NA,Supply,Apples,Fresh,United States,5744.655,million pounds
"Table G-1--Apples, fresh: Supply and availability, 1980/81 to date",1990/91,Marketing year,August,NA,Exports,Apples,Fresh,United States,817.955,million pounds
"Table G-1--Apples, fresh: Supply and availability, 1980/81 to date",1990/91,Marketing year,August,NA,Domestic availability,Apples,Fresh,United States,4926.7,million pounds
"Table G-1--Apples, fresh: Supply and availability, 1980/81 to date",1990/91,Marketing year,August,NA,Per capita availability,Apples,Fresh,United States,19.55901,pounds
"Table G-1--Apples, fresh: Supply and availability, 1980/81 to date",1991/92,Marketing year,August,NA,Utilized production,Apples,Fresh,United States,5447,million pounds
"Table G-1--Apples, fresh: Supply and availability, 1980/81 to date",1991/92,Marketing year,August,NA,Imports,Apples,Fresh,United States,303.039,million pounds
"Table G-1--Apples, fresh: Supply and availability, 1980/81 to date",1991/92,Marketing year,August,NA,Supply,Apples,Fresh,United States,5750.039,million pounds
"Table G-1--Apples, fresh: Supply and availability, 1980/81 to date",1991/92,Marketing year,August,NA,Exports,Apples,Fresh,United States,1132.025,million pounds
"Table G-1--Apples, fresh: Supply and availability, 1980/81 to date",1991/92,Marketing year,August,NA,Domestic availability,Apples,Fresh,United States,4618.014,million pounds
"Table G-1--Apples, fresh: Supply and availability, 1980/81 to date",1991/92,Marketing year,August,NA,Per capita availability,Apples,Fresh,United States,18.09467,pounds
"Table G-1--Apples, fresh: Supply and availability, 1980/81 to date",1992/93,Marketing year,August,NA,Utilized production,Apples,Fresh,United States,5767,million pounds
"Table G-1--Apples, fresh: Supply and availability, 1980/81 to date",1992/93,Marketing year,August,NA,Imports,Apples,Fresh,United States,259.4,million pounds
"Table G-1--Apples, fresh: Supply and availability, 1980/81 to date",1992/93,Marketing year,August,NA,Supply,Apples,Fresh,United States,6026.4,million pounds
"Table G-1--Apples, fresh: Supply and availability, 1980/81 to date",1992/93,Marketing year,August,NA,Exports,Apples,Fresh,United States,1082.2,million pounds
"Table G-1--Apples, fresh: Supply and availability, 1980/81 to date",1992/93,Marketing year,August,NA,Domestic availability,Apples,Fresh,United States,4944.2,million pounds
"Table G-1--Apples, fresh: Supply and availability, 1980/81 to date",1992/93,Marketing year,August,NA,Per capita availability,Apples,Fresh,United States,19.11326,pounds
"Table G-1--Apples, fresh: Supply and availability, 1980/81 to date",1993/94,Marketing year,August,NA,Utilized production,Apples,Fresh,United States,6124.6,million pounds
"Table G-1--Apples, fresh: Supply and availability, 1980/81 to date",1993/94,Marketing year,August,NA,Imports,Apples,Fresh,United States,238.9,million pounds
"Table G-1--Apples, fresh: Supply and availability, 1980/81 to date",1993/94,Marketing year,August,NA,Supply,Apples,Fresh,United States,6363.507,million pounds
"Table G-1--Apples, fresh: Supply and availability, 1980/81 to date",1993/94,Marketing year,August,NA,Exports,Apples,Fresh,United States,1390.6,million pounds
