Release,Unit,Unit_id,Discipline,Discipline_id,Number of Units,SRI,SRI Rank,SRI Percentile,Articles Weight,Awards Weight,Books Weight,Chapters Weight,Citations Weight,Conf Proc Weight,Grants Weight,Patents Weight,Trials Weight
AAD2023.09.02768,"Management, Department of",8015,Management,107,240,0.1,86,64.58,17.0%,18.0%,7.0%,15.0%,21.0%,14.0%,8.0%,0.0%,0.0%
AAD2023.09.02768,"Marketing, Department of",8016,Marketing,110,196,0,95,52.04,18.0%,27.0%,14.0%,21.0%,20.0%,0.0%,0.0%,0.0%,0.0%
AAD2023.09.02768,"Mathematics, Department of",8017,Mathematics,114,338,0.2,75,78.11,17.0%,17.0%,7.0%,6.0%,18.0%,12.0%,23.0%,0.0%,0.0%
AAD2023.09.02768,"Mechanical and Materials Engineering, Department of",18311,Materials Science and Engineering,113,90,-0.5,67,26.67,18.0%,17.0%,5.0%,7.0%,17.0%,7.0%,17.0%,12.0%,0.0%
AAD2023.09.02768,"Mechanical and Materials Engineering, Department of",18311,Mechanical Engineering,116,222,0,70,68.92,18.0%,17.0%,6.0%,6.0%,17.0%,8.0%,17.0%,11.0%,0.0%
AAD2023.09.02768,"Modern Languages and Literatures, Department of",8019,"Languages, various",105,219,0.4,32,85.84,5.0%,21.0%,27.0%,29.0%,10.0%,0.0%,8.0%,0.0%,0.0%
AAD2023.09.02768,"Music, School of",8030,"Music, General",123,235,-0.2,115,51.49,0.0%,33.0%,46.0%,21.0%,0.0%,0.0%,0.0%,0.0%,0.0%
AAD2023.09.02768,"Natural Resources, School of",8031,Natural Resources,124,62,0.1,18,72.58,23.0%,15.0%,0.0%,7.0%,25.0%,11.0%,19.0%,0.0%,0.0%
AAD2023.09.02768,"News and Editorial, Department of",8021,Mass Communications/Media Studies - Articles-Focused,111,203,0,78,62.07,13.0%,12.0%,0.0%,0.0%,20.0%,28.0%,27.0%,0.0%,0.0%
AAD2023.09.02768,"News and Editorial, Department of",8021,Mass Communications/Media Studies - Books-Focused,460,203,0,82,60.1,0.0%,17.0%,30.0%,53.0%,0.0%,0.0%,0.0%,0.0%,0.0%
AAD2023.09.02768,"Nutrition and Health Sciences, Department of",8022,Nutrition Sciences,129,109,-0.3,55,50.46,18.0%,11.0%,6.0%,8.0%,19.0%,9.0%,13.0%,7.0%,9.0%
AAD2023.09.02768,"Philosophy, Department of",8023,Philosophy,139,255,-0.1,121,52.94,9.0%,18.0%,33.0%,35.0%,5.0%,0.0%,0.0%,0.0%,0.0%
AAD2023.09.02768,"Physics and Astronomy, Department of",8024,Astronomy and Astrophysics,21,127,0,55,57.48,20.0%,17.0%,0.0%,7.0%,18.0%,13.0%,25.0%,0.0%,0.0%
AAD2023.09.02768,"Physics and Astronomy, Department of",8024,"Physics, General",140,314,0.2,67,78.98,18.0%,19.0%,0.0%,0.0%,18.0%,12.0%,26.0%,7.0%,0.0%
AAD2023.09.02768,"Plant Pathology, Department of",8025,Plant Pathology,142,31,-0.2,21,35.48,17.0%,17.0%,9.0%,7.0%,20.0%,0.0%,17.0%,13.0%,0.0%
AAD2023.09.02768,"Political Science, Department of",8027,Political Science,144,256,0,82,68.36,9.0%,45.0%,13.0%,12.0%,12.0%,0.0%,9.0%,0.0%,0.0%
AAD2023.09.02768,"Psychology, Department of",8028,"Psychology, General",145,287,0,113,60.98,20.0%,13.0%,6.0%,11.0%,21.0%,6.0%,14.0%,0.0%,9.0%
AAD2023.09.02768,"Sociology, Department of",8032,Sociology - Articles-Focused,156,253,0.8,11,96.05,38.0%,7.0%,0.0%,0.0%,40.0%,0.0%,15.0%,0.0%,0.0%
AAD2023.09.02768,"Sociology, Department of",8032,Sociology - Books-Focused,461,253,0.1,81,68.38,0.0%,25.0%,39.0%,36.0%,0.0%,0.0%,0.0%,0.0%,0.0%
AAD2023.09.02768,"Special Education and Communication Disorders, Department of",8033,Communication Disorders and Sciences,44,95,0.4,26,73.68,20.0%,12.0%,5.0%,6.0%,20.0%,10.0%,17.0%,0.0%,10.0%
AAD2023.09.02768,"Special Education and Communication Disorders, Department of",8033,Special Education,159,67,0.3,19,73.13,15.0%,19.0%,14.0%,17.0%,17.0%,5.0%,13.0%,0.0%,0.0%
AAD2023.09.02768,"Statistics, Department of",8034,Statistics,161,157,0.4,39,75.8,18.0%,19.0%,5.0%,5.0%,20.0%,11.0%,22.0%,0.0%,0.0%
AAD2023.09.02768,"Supply Chain Management and Analytics, Department of",33829,"Business, various",34,262,0.2,99,62.6,16.0%,22.0%,7.0%,13.0%,19.0%,11.0%,12.0%,0.0%,0.0%
AAD2023.09.02768,"Supply Chain Management and Analytics, Department of",33829,Management,107,240,0,101,58.33,17.0%,18.0%,7.0%,15.0%,21.0%,14.0%,8.0%,0.0%,0.0%
AAD2023.09.02768,"Teaching, Learning and Teacher Education, Department of",8035,Teacher Education Specific Levels,164,79,0.4,21,74.68,21.0%,14.0%,0.0%,10.0%,25.0%,18.0%,12.0%,0.0%,0.0%
AAD2023.09.02768,"Textiles, Merchandising, and Fashion Design, Department of",8036,"Consumer and Human Sciences, various",51,41,-0.3,25,41.46,21.0%,22.0%,13.0%,18.0%,14.0%,0.0%,12.0%,0.0%,0.0%
AAD2023.09.02768,"Theatre and Film, Johnny Carson School of",8013,Mass Communications/Media Studies - Articles-Focused,111,203,-0.6,141,31.03,13.0%,12.0%,0.0%,0.0%,20.0%,28.0%,27.0%,0.0%,0.0%
AAD2023.09.02768,"Theatre and Film, Johnny Carson School of",8013,"Performing and Visual Arts, various",135,546,-0.4,360,34.25,10.0%,21.0%,36.0%,33.0%,0.0%,0.0%,0.0%,0.0%,0.0%
AAD2023.09.02768,"Theatre and Film, Johnny Carson School of",8013,Mass Communications/Media Studies - Books-Focused,460,203,-0.6,164,19.7,0.0%,17.0%,30.0%,53.0%,0.0%,0.0%,0.0%,0.0%,0.0%
AAD2023.09.02768,"Veterinary Medicine and Biomedical Sciences, School of",8038,Veterinary Medical Sciences,170,104,-0.1,61,42.31,17.0%,15.0%,0.0%,5.0%,22.0%,7.0%,20.0%,14.0%,0.0%
